Year,Gold_Price,Gold Change,DOW Jones Price,DOW Jones Change,S&P Price,S&P Change,NASDAQ Price,NASDAQ Change,Brent Price,Brent Change,WTI Price,WTI Change,Natural gas US Price,Natural Gas Change
2000,277.44,-1.910940621188295,10733.915,-5.030000000000001,1430.1,-9.309999999999999,3813.825,-39.56999999999999,28.115000000000002,61.673375503162745,29.945,57.77133825079031,4.12,78.74186550976141
2010,1210.622,28.19836181016271,10626.995,11.88,1122.85,13.8,2312.83,18.18,77.24000000000001,16.50075414781298,77.47999999999999,16.022761305780154,4.265000000000001,12.089356110381111
2015,1168.94,-8.955386628450368,17676.7,-1.39,2073.625,0.120000000000001,4975.2,6.68,51.955,-51.52999346954007,47.525000000000006,-51.73902005585174,2.7649999999999997,-36.143187066974605
