Country,Year,GDP Value,population,"Crude marriage rate (per 1,000 inhabitants)","Crude divorce rate (per 1,000 inhabitants)",$2.15 a day - Share of population in poverty,Gini coefficient,Healthy life expectancy
Poland,2010,479257883741.752,38095356,6.0,1.6,0.3492378,0.3321481,67.12566
Poland,2015,477279647754.701,38266314,5.0,1.8,0.43371302,0.3175091,68.03076
Portugal,2010,238303443425.21,10578659,3.8,2.5999999,0.13645983,0.35844672,69.33836
Portugal,2015,199420256049.689,10370266,3.1,2.3,0.48239422,0.355233,70.4856
Romania,2010,167998080493.408,20432576,5.7,1.6,4.1745195,0.3547109,65.4342
Romania,2015,177911101680.106,19871018,6.3,1.6,5.266119,0.35913625,66.28031
Serbia,2015,37160332465.1645,7177257,5.2,1.3,6.6467104,0.40461844,66.44166
Slovak Republic,2010,89501012915.7314,5391857,4.7,2.2,0.4951079,0.2731572,66.48485
Slovak Republic,2015,87501423882.4686,5420279,5.3,1.8,0.66175985,0.26491234,67.6377
Slovenia,2010,48013606745.4803,2044612,3.2,1.2,0.009157744,0.24933259,69.23055
Slovenia,2015,43072415017.4321,2059947,3.1,1.2,0.004852958,0.25408465,70.04212
Spain,2000,595402616546.895,41019773,5.4,0.89999998,0.67538816,0.34128913,69.06283
Spain,2010,1431616749640.29,46840470,3.6,2.2,0.67572516,0.35244486,71.03246
Spain,2015,1197789902774.43,46683683,3.6,2.0999999,0.90352696,0.3617834,71.56477
Sweden,2000,259802012617.057,8872100,4.5,2.4000001,0.0,0.2696006,69.85847
Sweden,2010,488377689564.921,9378234,5.3,2.5,0.5474092,0.27736187,71.18043
Sweden,2015,497918109302.399,9799482,5.3,2.5,0.5691551,0.29209688,71.42915
Switzerland,2000,272055499940.786,7184003,5.5,1.5,0.0,0.33431056,69.28847
Switzerland,2010,583782977866.405,7825751,5.5,2.8,0.048670206,0.3255303,71.37307
Switzerland,2015,679289166858.236,8283940,5.0,2.0999999,0.030542554,0.32306957,71.74572
Türkiye,2010,771876791231.838,73346766,8.0,1.6,0.77376914,0.3878508,66.94627
Türkiye,2015,859794177118.102,80014221,7.7,1.7,0.21237287,0.42854458,67.71564
Ukraine,2010,136013155905.036,46456002,6.7,2.8,0.012536798,0.24818976,62.19735
Ukraine,2015,91030959454.6961,45784903,7.0,3.0,0.12321677,0.2545754,63.78681
United Kingdom,2000,1647951278559.54,59057336,5.2,2.5999999,0.2488854,0.38848642,67.57213
United Kingdom,2010,2441173394729.62,63006484,4.5,2.0999999,0.24635163,0.337056,69.44314
United Kingdom,2015,2885570309160.86,65382107,4.4,1.7,0.24924742,0.33311963,69.67219
United States,2000,10284779000000.0,281484127,8.300000191,4.0999999,0.74959534,0.40138903,65.8003
United States,2010,14964372000000.0,311062786,6.800000191,3.5999999,0.99972683,0.40007547,66.73829
United States,2015,18120714000000.0,326126498,6.900000095,3.0999999,1.2491881,0.41235605,66.56168
Uzbekistan,2000,13760374487.51,24787051,6.900000095,0.80000001,81.34299,0.36011636,58.07568
