Country,Region,Happiness Score,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Gender Inequality Index,Inflation,Population,GDP,Cluster
Lebanon,Middle East and Northern Africa,4.839,1.02564,0.80001,0.83947,0.33916,0.365,2.56259267652081,6472470,49459296463.2836,0
Hungary,Central and Eastern Europe,4.8,1.12094,1.20215,0.75905,0.32112,0.23,1.88484188992433,9839210,122879042001.915,0
Honduras,Latin America and Caribbean,4.788,0.59532,0.95348,0.6951,0.40148,0.413,6.4466068520114,9237305,20844284855.0025,1
Tajikistan,Central and Eastern Europe,4.786,0.39047,0.85563,0.57379,0.47216,0.269,0.124298966900341,8643839,7853450374.0001,1
Tunisia,Middle East and Northern Africa,4.739,0.88113,0.60429,0.73793,0.26268,0.237,3.59476631564515,11402270,43156708809.1354,1
Bangladesh,Southern Asia,4.694,0.39753,0.43106,0.60164,0.4082,0.498,5.87277657668392,159383180,195078665827.565,1
Ukraine,Central and Eastern Europe,4.681,0.79907,1.20278,0.6739,0.25123,0.188,38.8816593398634,45784903,91030959454.6961,1
Iraq,Middle East and Northern Africa,4.677,0.98549,0.81889,0.60237,0.0,0.562,-26.8657091201324,37560535,179640210726.448,1
South Africa,Sub-Saharan Africa,4.642,0.92049,1.18468,0.27688,0.33207,0.401,4.9940461641711,56723537,317610719411.483,1
Ghana,Sub-Saharan Africa,4.633,0.54558,0.67954,0.40132,0.42342,0.512,17.8017274000385,28696071,37543361203.5609,1
Zimbabwe,Sub-Saharan Africa,4.61,0.271,1.03276,0.33475,0.25861,0.519,0.898071929552273,14399009,16304667807.0657,1
Liberia,Sub-Saharan Africa,4.571,0.0712,0.78968,0.34201,0.28531,0.656,1.04321907600597,4659438,2034000000.0,1
India,Southern Asia,4.565,0.64499,0.38174,0.51529,0.39786,0.437,1.78578976053852,1328024492,2089865410867.82,1
Sudan,Sub-Saharan Africa,4.55,0.52107,1.01404,0.36878,0.10081,0.548,17.9037584478598,40024436,97156119150.0,1
Haiti,Latin America and Caribbean,4.518,0.26673,0.74302,0.38847,0.24425,0.621,6.87863778217039,10523249,8724656126.49849,1
Nepal,Southern Asia,4.514,0.35997,0.86449,0.56874,0.38282,0.495,4.94281445787085,27823631,21410840908.5198,1
Ethiopia,Sub-Saharan Africa,4.512,0.19073,0.60406,0.44055,0.4345,0.494,10.8365427773902,103867140,64464547915.2698,1
Sierra Leone,Sub-Saharan Africa,4.507,0.33024,0.95571,0.0,0.4084,0.613,19.6384944906052,7037659,4251869869.50755,1
Mauritania,Sub-Saharan Africa,4.436,0.45407,0.86908,0.35874,0.24232,0.603,-4.86608011431589,3965959,4844223106.95469,1
Kenya,Sub-Saharan Africa,4.419,0.36471,0.99876,0.41435,0.42215,0.533,9.62298823640364,47088527,63767539356.6051,1
Armenia,Central and Eastern Europe,4.35,0.76821,0.77711,0.7299,0.19847,0.198,1.21390990161147,2921179,10553337672.9872,1
Botswana,Sub-Saharan Africa,4.332,0.99355,1.10464,0.04776,0.49495,0.483,1.7677209395266,2203276,14430573505.3797,1
